fpTime,IAvgTime,IStdTime,IToTime,INumPck,ISumPckDim,IMeanPckDim,IMinPckDim,IMaxPckDim,IStdPckDim,IVarPckDim,ISkewPckDim,IKurPckDim,IP90PckDim,OAvgTime,OStdTime,OToTime,ONumPck,OSumPckDim,OMeanPckDim,OMinPckDim,OMaxPckDim,OStdPckDim,OVarPckDim,OSkewPckDim,OKurPckDim,OP90PckDim,BAvgTime,BStdTime,BToTime,BNumPck,BSumPckDim,BMeanPckDim,BMinPckDim,BMaxPckDim,BStdPckDim,BVarPckDim,BSkewPckDim,BKurPckDim,BP90PckDim,Device,Label,Prediction,Labels List,Confidence
1649783422.855808,0,0,0.000000,1,68,68.0,68,68,0.0,0.0,0.0,-3.0,68.0,0,0,0.000000,1,68,68.0,68,68,0.0,0.0,0.0,-3.0,68.0,0,0,0.084635,2,136,68.0,68,68,0.0,0.0,0.0,-3.0,68.0,R3,GEN,TSPY,['CIMG' 'CSMS' 'DB' 'GEN' 'GP' 'MSPY' 'TSPY'],[0.  0.  0.  0.2 0.  0.  0.8]
1649783423.36878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000,1,690,690.0,690,690,0.0,0.0,0.0,-3.0,690.0,0,0,0.00000,1,690,690.0,690,690,0.0,0.0,0.0,-3.0,690.0,R3,GEN,CIMG,['CIMG' 'CSMS' 'DB' 'GEN' 'GP' 'MSPY' 'TSPY'],[0.6 0.  0.  0.2 0.  0.  0.2]
1649783424.596494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,1,159,159.0,159,159,0.0,0.0,0.0,-3.0,159.0,0,0,0.000000,1,159,159.0,159,159,0.0,0.0,0.0,-3.0,159.0,R3,GEN,CIMG,['CIMG' 'CSMS' 'DB' 'GEN' 'GP' 'MSPY' 'TSPY'],[0.8 0.  0.  0.2 0.  0.  0. ]
1649783425.758144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,1,690,690.0,690,690,0.0,0.0,0.0,-3.0,690.0,0,0,0.000000,1,690,690.0,690,690,0.0,0.0,0.0,-3.0,690.0,R3,GEN,CIMG,['CIMG' 'CSMS' 'DB' 'GEN' 'GP' 'MSPY' 'TSPY'],[0.6 0.  0.  0.2 0.  0.  0.2]
1649783430.654505,0,0,0.000000,1,99,99.0,99,99,0.0,0.0,0.0,-3.0,99.0,0.086051,0.000000,0.086051,2,425,212.5,69,356,143.5,20592.25,0.0,-2.0,327.3,0.086051,0.000000,0.370563,3,524,174.66666666666666,69,356,128.8056244458637,16590.888888888887,0.6784467599178798,-1.4999999999999996,304.6,R3,GEN,MSPY,['CIMG' 'CSMS' 'DB' 'GEN' 'GP' 'MSPY' 'TSPY'],[0.  0.  0.  0.4 0.  0.6 0. ]
1649783431.157284,0.0717161,0.09213477321451439921593757293,1.434322,21,12469,593.7619047619048,66,1230,349.8975230606683,122428.27664399089,0.323252475812542,-0.6097302744904014,1230.0,0.1019478571428571428571428571,0.1011071791720174981343402780,1.427270,15,6403,426.8666666666667,74,1026,284.9352831004885,81188.11555555555,0.13694144277453754,-0.9320630050498773,629.0,0.04340985714285714285714285714,0.05593022243813796809862309136,1.583169,36,18872,524.2222222222222,66,1230,334.68634662514086,112014.95061728395,0.37951387496746897,-0.42109793815943286,949.5,R3,GEN,GEN,['CIMG' 'CSMS' 'DB' 'GEN' 'GP' 'MSPY' 'TSPY'],[0. 0. 0. 1. 0. 0. 0.]
1649783432.17721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000,1,54,54.0,54,54,0.0,0.0,0.0,-3.0,54.0,0,0,0.00000,1,54,54.0,54,54,0.0,0.0,0.0,-3.0,54.0,R3,GEN,TSPY,['CIMG' 'CSMS' 'DB' 'GEN' 'GP' 'MSPY' 'TSPY'],[0. 0. 0. 0. 0. 0. 1.]
1649783432.69167,0.267196,0.2187134285238715438912723552,0.801588,4,1738,434.5,74,1302,506.58883722403516,256632.25,1.0800036707904612,-0.7316256562743462,992.1000000000001,0.1688456666666666666666666667,0.05047699384428073838258937444,0.506537,4,1066,266.5,74,608,207.64573195710042,43116.75,0.8418374933576185,-0.9396646174291003,501.80000000000007,0.118804,0.01986132538377033890539344622,0.892304,8,2804,350.5,74,1302,396.14454432694134,156930.5,1.6226489448993202,1.276983452784222,816.1999999999999,R3,GEN,CIMG,['CIMG' 'CSMS' 'DB' 'GEN' 'GP' 'MSPY' 'TSPY'],[0.4 0.  0.  0.2 0.  0.  0.4]
1649783433.919634,0.1229378,0.1003445489130326401309386438,0.614689,6,2969,494.8333333333333,66,1230,386.1957261401127,149147.1388888889,0.8730971914847502,-0.47635741201811754,978.5,0.203326,0.01102782562430146516868378797,0.609978,4,1856,464.0,74,1077,402.55993342606763,162054.5,0.5223882689056617,-1.3214405101628133,925.2,0.1192306666666666666666666667,0.04778407637371354370467555071,0.767135,10,4825,482.5,66,1230,393.11353321909434,154538.25,0.7163301098307487,-0.8222043418783178,1092.3,R3,GEN,CSMS,['CIMG' 'CSMS' 'DB' 'GEN' 'GP' 'MSPY' 'TSPY'],[0.2 0.6 0.  0.2 0.  0.  0. ]
1649783434.226153,0.17938825,0.2093340681713979875712889931,0.717553,5,3203,640.6,74,1514,511.03252342683624,261154.23999999993,0.6107632966923869,-0.8839306021870184,1234.8,0.237858,0.04467377387983543378523542351,0.713574,4,1843,460.75,74,1056,396.30756679629525,157059.6875,0.47677976031158564,-1.3773540270775275,914.1,0.119384,0.04403609692816413386393297984,0.869574,9,5046,560.6666666666666,74,1514,472.0981536361551,222876.66666666666,0.6860111545171865,-0.6449500641605637,1147.6000000000001,R3,GEN,GEN,['CIMG' 'CSMS' 'DB' 'GEN' 'GP' 'MSPY' 'TSPY'],[0. 0. 0. 1. 0. 0. 0.]
